datetime;demand
2024-01-01T19:05:00.000+01:00;25892
2024-01-01T19:10:00.000+01:00;25920
2024-01-01T19:15:00.000+01:00;25975
2024-01-01T19:20:00.000+01:00;26125
2024-01-01T19:25:00.000+01:00;26140
2024-01-01T19:30:00.000+01:00;26199
2024-01-01T19:35:00.000+01:00;26301
2024-01-01T19:40:00.000+01:00;26357
2024-01-01T19:45:00.000+01:00;26472
2024-01-01T19:50:00.000+01:00;26524
2024-01-01T19:55:00.000+01:00;26547
2024-01-01T20:00:00.000+01:00;26569
2024-01-01T20:05:00.000+01:00;26897
2024-01-01T20:10:00.000+01:00;26970
2024-01-01T20:15:00.000+01:00;27007
2024-01-01T20:20:00.000+01:00;27112
2024-01-01T20:25:00.000+01:00;27257
2024-01-01T20:30:00.000+01:00;27310
2024-01-01T20:35:00.000+01:00;27284
2024-01-01T20:40:00.000+01:00;27357
2024-01-01T20:45:00.000+01:00;27399
2024-01-01T20:50:00.000+01:00;27541
2024-01-01T20:55:00.000+01:00;27545
2024-01-01T21:00:00.000+01:00;27609
2024-01-01T21:05:00.000+01:00;27655
2024-01-01T21:10:00.000+01:00;27700
2024-01-01T21:15:00.000+01:00;27702
2024-01-01T21:20:00.000+01:00;27670
2024-01-01T21:25:00.000+01:00;27661
2024-01-01T21:30:00.000+01:00;27514
2024-01-01T21:35:00.000+01:00;27448
2024-01-01T21:40:00.000+01:00;27341
2024-01-01T21:45:00.000+01:00;27177
2024-01-01T21:50:00.000+01:00;27053
2024-01-01T21:55:00.000+01:00;26931
2024-01-01T22:00:00.000+01:00;26841
2024-01-01T22:05:00.000+01:00;26570
2024-01-01T22:10:00.000+01:00;26444
2024-01-01T22:15:00.000+01:00;26314
2024-01-01T22:20:00.000+01:00;26026
2024-01-01T22:25:00.000+01:00;26034
2024-01-01T22:30:00.000+01:00;25798
2024-01-01T22:35:00.000+01:00;25572
2024-01-01T22:40:00.000+01:00;25497
2024-01-01T22:45:00.000+01:00;25315
2024-01-01T22:50:00.000+01:00;25242
2024-01-01T22:55:00.000+01:00;24892
2024-01-01T23:00:00.000+01:00;24582
2024-01-01T23:05:00.000+01:00;24447
2024-01-01T23:10:00.000+01:00;24235
2024-01-01T23:15:00.000+01:00;24036
2024-01-01T23:20:00.000+01:00;23887
2024-01-01T23:25:00.000+01:00;23738
2024-01-01T23:30:00.000+01:00;23367
2024-01-01T23:35:00.000+01:00;23140
2024-01-01T23:40:00.000+01:00;22951
2024-01-01T23:45:00.000+01:00;22805
2024-01-01T23:50:00.000+01:00;22650
2024-01-01T23:55:00.000+01:00;22359
2024-01-02T00:00:00.000+01:00;22207
2024-01-02T00:05:00.000+01:00;22191
2024-01-02T00:10:00.000+01:00;22061
2024-01-02T00:15:00.000+01:00;21881
2024-01-02T00:20:00.000+01:00;21628
2024-01-02T00:25:00.000+01:00;21468
2024-01-02T00:30:00.000+01:00;21407
2024-01-02T00:35:00.000+01:00;21268
2024-01-02T00:40:00.000+01:00;20986
2024-01-02T00:45:00.000+01:00;20892
2024-01-02T00:50:00.000+01:00;20726
2024-01-02T00:55:00.000+01:00;20618
2024-01-02T01:00:00.000+01:00;20335
2024-01-02T01:05:00.000+01:00;20224
2024-01-02T01:10:00.000+01:00;20070
