datetime_utc,demanda,programada,prevista
2018-08-04 00:00:00+0000,29850.479166666668,29903.819444444445,29903.819444444445
2018-08-05 00:00:00+0000,27817.92361111111,27808.51388888889,27808.51388888889
2018-08-06 00:00:00+0000,32858.895833333336,32791.493055555555,32791.493055555555
2018-08-07 00:00:00+0000,32708.6875,32740.180555555555,32740.180555555555
2018-08-08 00:00:00+0000,31937.86111111111,31968.305555555555,31968.305555555555
2018-08-09 00:00:00+0000,30878.868055555555,30878.5625,30878.5625
2018-08-10 00:00:00+0000,29930.159722222223,29916.590277777777,29916.590277777777
2018-08-11 00:00:00+0000,27689.840277777777,27693.73611111111,27693.73611111111
2018-08-12 00:00:00+0000,26067.756944444445,26092.04861111111,26092.04861111111
2018-08-13 00:00:00+0000,29424.555555555555,29468.833333333332,29468.833333333332
2018-08-14 00:00:00+0000,29158.305555555555,29211.29861111111,29211.29861111111
2018-08-15 00:00:00+0000,26049.972222222223,26082.694444444445,26082.694444444445
2018-08-16 00:00:00+0000,28626.17361111111,28677.569444444445,28677.569444444445
2018-08-17 00:00:00+0000,28027.305555555555,28038.715277777777,28038.715277777777
2018-08-18 00:00:00+0000,25515.67361111111,25555.23611111111,25555.23611111111
2018-08-19 00:00:00+0000,24405.409722222223,24417.743055555555,24417.743055555555
2018-08-20 00:00:00+0000,29236.930555555555,29190.618055555555,29190.618055555555
2018-08-21 00:00:00+0000,30289.208333333332,30301.833333333332,30301.833333333332
2018-08-22 00:00:00+0000,30686.01388888889,30692.98611111111,30692.98611111111
2018-08-23 00:00:00+0000,30605.916666666668,30619.159722222223,30619.159722222223
2018-08-24 00:00:00+0000,30307.4375,30291.756944444445,30291.756944444445
2018-08-25 00:00:00+0000,26968.61111111111,27023.027777777777,27023.027777777777
2018-08-26 00:00:00+0000,25181.284722222223,25183.597222222223,25183.597222222223
2018-08-27 00:00:00+0000,31039.354166666668,31065.833333333332,31065.833333333332
2018-08-28 00:00:00+0000,31874.840277777777,31924.32638888889,31924.32638888889
2018-08-29 00:00:00+0000,31684.5,31696.409722222223,31696.409722222223
2018-08-30 00:00:00+0000,31617.041666666668,31566.11111111111,31566.11111111111
2018-08-31 00:00:00+0000,31553.765151515152,31592.598484848484,31592.598484848484
2018-08-31 00:00:00+0000,27410.833333333332,27448.666666666668,27448.666666666668
2018-09-01 00:00:00+0000,27916.4375,27918.791666666668,27918.791666666668
2018-09-02 00:00:00+0000,26426.680555555555,26419.090277777777,26419.090277777777
2018-09-03 00:00:00+0000,31247.444444444445,31317.3125,31317.3125
2018-09-04 00:00:00+0000,31470.652777777777,31448.979166666668,31448.979166666668
2018-09-05 00:00:00+0000,31096.166666666668,31118.277777777777,31118.277777777777
2018-09-06 00:00:00+0000,30408.034722222223,30425.340277777777,30425.340277777777
2018-09-07 00:00:00+0000,29891.458333333332,29947.784722222223,29947.784722222223
2018-09-08 00:00:00+0000,26085.916666666668,26117.180555555555,26117.180555555555
2018-09-09 00:00:00+0000,24230.090277777777,24261.854166666668,24261.854166666668
2018-09-10 00:00:00+0000,28573.243055555555,28603.256944444445,28603.256944444445
2018-09-11 00:00:00+0000,28840.958333333332,28876.36111111111,28876.36111111111
2018-09-12 00:00:00+0000,30697.26388888889,30673.666666666668,30673.666666666668
2018-09-13 00:00:00+0000,30886.180555555555,30865.9375,30865.9375
2018-09-14 00:00:00+0000,30600.222222222223,30626.916666666668,30626.916666666668
2018-09-15 00:00:00+0000,26573.8125,26575.159722222223,26575.159722222223
2018-09-16 00:00:00+0000,24770.5,24764.743055555555,24764.743055555555
2018-09-17 00:00:00+0000,30058.86111111111,30113.972222222223,30113.972222222223
2018-09-18 00:00:00+0000,30556.916666666668,30555.680555555555,30555.680555555555
2018-09-19 00:00:00+0000,30865.590277777777,30887.152777777777,30887.152777777777
2018-09-20 00:00:00+0000,31088.13888888889,31121.743055555555,31121.743055555555
2018-09-21 00:00:00+0000,30901.006944444445,30884.868055555555,30884.868055555555
2018-09-22 00:00:00+0000,27522.01388888889,27537.041666666668,27537.041666666668
2018-09-23 00:00:00+0000,25696.680555555555,25718.26388888889,25718.26388888889
